1.000000000000000000e+00,3.927494620804803382e+00
2.689655172413793149e+00,3.452077799716828821e+00
4.379310344827586299e+00,9.488166117274628775e+00
6.068965517241379004e+00,1.117617476017806055e+01
7.758620689655172598e+00,1.622010986323100212e+01
9.448275862068966191e+00,1.983886822137802497e+01
1.113793103448275801e+01,2.042865766693952878e+01
1.282758620689655160e+01,2.336946212720776828e+01
1.451724137931034520e+01,3.247428406678279345e+01
1.620689655172413879e+01,3.155016543800035578e+01
1.789655172413793238e+01,3.672045686056792135e+01
1.958620689655172598e+01,3.805359304122700337e+01
2.127586206896551602e+01,4.567832985438240456e+01
2.296551724137930961e+01,4.896741901643571282e+01
2.465517241379310320e+01,5.260752613112092035e+01
2.634482758620689680e+01,5.512823269812253102e+01
2.803448275862069039e+01,5.499819026020657020e+01
2.972413793103448398e+01,5.917678810992997285e+01
3.141379310344827758e+01,6.035669329974734865e+01
3.310344827586207117e+01,6.743155935214275587e+01
3.479310344827586476e+01,7.249065912763686015e+01
3.648275862068965836e+01,6.981641053177555989e+01
3.817241379310345195e+01,7.588427739665091565e+01
3.986206896551724554e+01,8.116099755959605488e+01
4.155172413793103203e+01,8.052862341632786070e+01
4.324137931034482563e+01,8.675446203814355783e+01
4.493103448275861922e+01,9.173139348580738783e+01
4.662068965517241281e+01,9.376141042343788001e+01
4.831034482758620641e+01,9.656916268763237099e+01
5.000000000000000000e+01,9.906502270954101164e+01
